region,category,parameter,mode,powertrain,year,unit,value,value_scaled
0,0,0,0,0,2011,0,49,-0.19991871779461765
0,0,0,0,0,2012,0,170,-0.1996214146584612
0,0,0,0,1,2012,0,80,-0.1998425492225445
0,0,0,0,1,2013,0,100,-0.19979340820830377
0,0,0,0,0,2013,0,190,-0.19957227364422048
0,0,0,0,0,2014,0,370,-0.1991300045160539
0,0,0,0,1,2014,0,950,-0.19770491510307267
0,0,0,0,1,2015,0,1000,-0.19758206256747085
0,0,0,0,0,2015,0,760,-0.19817175473835963
0,0,0,0,0,2016,0,670,-0.19839288930244292
0,0,0,0,1,2016,0,700,-0.19831917778108182
0,0,0,0,1,2017,0,1100,-0.19733635749626718
0,0,0,0,0,2017,0,1200,-0.19709065242506352
0,0,0,0,0,2018,0,1800,-0.19561642199784157
0,0,0,0,1,2018,0,1800,-0.19561642199784157
0,0,0,0,1,2019,0,2900,-0.19291366621460132
0,0,0,0,0,2019,0,6300,-0.1845596937936769
0,0,0,0,0,2020,0,5200,-0.18726244957691715
0,0,0,0,1,2020,0,1700,-0.19586212706904524
0,0,0,0,1,2021,0,3400,-0.19168514085858301
0,0,0,0,0,2021,0,17000,-0.15826925117488536
0,0,0,0,0,2022,0,33000,-0.11895643978229989
0,0,0,0,1,2022,0,5900,-0.18554251407849154
1,0,0,0,0,2013,0,650,-0.19844203031668364
1,0,0,0,0,2014,0,1700,-0.19586212706904524
1,0,0,0,0,2015,0,1700,-0.19586212706904524
1,0,0,0,1,2015,0,1100,-0.19733635749626718
1,0,0,0,1,2016,0,1200,-0.19709065242506352
1,0,0,0,0,2016,0,3800,-0.19070232057376837
1,0,0,0,0,2017,0,5400,-0.18677103943450984
1,0,0,0,1,2017,0,1700,-0.19586212706904524
1,0,0,0,1,2018,0,2300,-0.19438789664182327
1,0,0,0,0,2018,0,6800,-0.1833311684376586
1,0,0,0,0,2019,0,9300,-0.17718854165756712
1,0,0,0,1,2019,0,2200,-0.19463360171302693
1,0,0,0,1,2020,0,7600,-0.18136552786802934
1,0,0,0,0,2020,0,16000,-0.16072630188692197
1,0,0,0,0,2021,0,33000,-0.11895643978229989
1,0,0,0,1,2021,0,15000,-0.16318335259895855
1,0,0,0,1,2022,0,13000,-0.16809745402303172
1,0,0,0,0,2022,0,34000,-0.1164993890702633
2,0,0,0,0,2010,0,48,-0.19992117484532967
2,0,0,0,1,2010,0,8,-0.20001945687381115
2,0,0,0,1,2011,0,16,-0.19999980046811486
2,0,0,0,0,2011,0,280,-0.19935113908013719
2,0,0,0,1,2012,0,340,-0.199203716037415
2,0,0,0,0,2012,0,570,-0.1986385943736466
2,0,0,0,0,2013,0,500,-0.19881058792348913
2,0,0,0,1,2013,0,60,-0.19989169023678524
